Performance Code,AIdent,Start Day,End Day,Pay Rate,Bill Rate,Margin
Assignment Terminated - Attendance,184670,8/7/2017,9/13/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,184679,8/9/2017,8/9/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,184681,8/9/2017,8/16/2017,8.25,11.04,2.79
Assignment Terminated - Violation of Rules,184755,1/12/2018,1/24/2018,8.25,11.04,2.79
Assignment Terminated - Attendance,184809,8/29/2017,9/13/2017,8.25,11.04,2.79
Rate Change,184996,8/10/2017,8/14/2017,8.25,11.04,2.79
Complete,185030,8/9/2017,9/29/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,185032,8/11/2017,8/17/2017,8.25,11.04,2.79
Assignment Terminated - Attendance,185156,9/18/2017,10/3/2017,8.25,11.04,2.79
A Quit - Resigned with Notice,185227,8/28/2017,9/18/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,185794,9/18/2017,9/18/2017,8.25,11.04,2.79
Complete,185966,8/28/2017,9/15/2017,8.25,11.04,2.79
Open,185969,2/5/2018,,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,186382,9/18/2017,10/6/2017,8.25,11.04,2.79
Assignment Terminated - No Reason Given,186547,9/20/2017,10/11/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,186551,9/18/2017,10/5/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,186585,9/18/2017,11/17/2017,8.25,11.04,2.79
Complete,186600,9/18/2017,12/19/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,186945,9/18/2017,10/5/2017,8.25,11.04,2.79
Open,186951,9/18/2017,,8.25,11.04,2.79
Assignment Terminated - Attendance,186978,9/18/2017,9/27/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,207389,9/27/2017,11/2/2017,8.25,11.04,2.79
Complete,207394,9/27/2017,10/19/2017,8.25,11.04,2.79
Complete,207396,9/26/2017,10/10/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,207474,9/25/2017,10/13/2017,8.25,11.04,2.79
Assignment Terminated - No Reason Given,207547,9/25/2017,9/25/2017,8.25,11.04,2.79
Complete,207572,9/25/2017,10/9/2017,8.25,11.04,2.79
Open,207616,10/2/2017,,8.25,11.04,2.79
Complete,208052,10/9/2017,10/10/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,208066,10/9/2017,12/7/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,208070,10/9/2017,12/7/2017,8.25,11.04,2.79
Assignment Terminated - No Reason Given,209384,11/1/2017,11/24/2017,8.25,11.04,2.79
Assignment Terminated - Attendance,209419,11/14/2017,11/22/2017,8.25,11.04,2.79
Assignment Terminated - No Reason Given,209502,11/14/2017,12/8/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,209792,11/7/2017,11/24/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,209793,11/1/2017,11/16/2017,8.25,11.04,2.79
Complete,209794,11/1/2017,12/18/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,209795,11/1/2017,11/16/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,209799,11/1/2017,12/28/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,209800,11/1/2017,11/30/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,209810,11/1/2017,1/2/2018,8.25,11.04,2.79
Assignment Terminated - No Reason Given,209812,11/1/2017,12/8/2017,8.25,11.04,2.79
Open,209889,11/6/2017,,8.25,11.04,2.79
No Show/No Call,209983,11/3/2017,11/6/2017,8.25,11.04,2.79
No Show/No Call,209985,11/3/2017,11/13/2017,8.25,11.04,2.79
Open,220920,2/5/2018,,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,221637,12/4/2017,12/13/2017,8.25,11.04,2.79
Open,221748,12/5/2017,,8.25,11.04,2.79
Open,221924,12/8/2017,,8.25,11.04,2.79
Open,221925,12/8/2017,,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,221932,12/8/2017,12/14/2017,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,221933,12/7/2017,1/2/2018,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,221934,12/8/2017,1/2/2018,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,222558,12/26/2017,1/3/2018,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,223576,1/11/2018,1/19/2018,8.25,11.04,2.79
Open,223851,1/29/2018,,8.25,11.04,2.79
Open,223914,1/19/2018,,8.25,11.04,2.79
Complete,223919,1/22/2018,1/22/2018,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,223998,1/17/2018,1/31/2018,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,224000,1/22/2018,1/31/2018,8.25,11.04,2.79
Open,224075,1/22/2018,,8.25,11.04,2.79
A Quit - Stopped Showing / No Notice,224243,1/23/2018,2/2/2018,8.25,11.04,2.79
Complete,224336,1/22/2018,1/22/2018,8.25,11.04,2.79
Open,224666,1/31/2018,,8.25,11.04,2.79
Open,224668,1/29/2018,,8.25,11.04,2.79
Open,224856,2/5/2018,,8.25,11.04,2.79
Open,224856,2/5/2018,,8.25,11.04,2.79
Assignment Terminated - Poor Production,184141,8/2/2017,8/4/2017,8.25,10.89,2.64
Assignment Terminated - Violation of Rules,184508,8/9/2017,10/5/2017,8.25,10.89,2.64
Assignment Terminated - Attendance,185106,8/21/2017,9/1/2017,8.25,10.89,2.64
Assignment Terminated - Violation of Rules,186123,9/12/2017,10/5/2017,8.25,10.89,2.64
Complete,185253,9/8/2017,9/10/2017,8.25,10.56,2.31
Rate Change,185253,9/8/2017,10/7/2017,8.25,10.56,2.31
Rate Change,207683,10/18/2017,10/18/2017,8.25,10.56,2.31
Rate Change,208058,10/20/2017,10/20/2017,8.25,10.56,2.31
Rate Change,208083,10/20/2017,10/20/2017,8.25,10.56,2.31
A Quit - Stopped Showing / No Notice,185587,9/13/2017,10/3/2017,8.29,11.36,3.07
Rate Change,208226,10/30/2017,12/31/2017,8.29,11.36,3.07
Assignment Terminated - No Reason Given,223686,1/24/2018,2/8/2018,8.3,12.3,4
Open,223983,1/25/2018,,8.3,12.3,4
Open,224013,2/6/2018,,8.3,12.3,4
Complete,223264,2/13/2018,2/16/2018,8.3,12.04,3.74
Open,225127,2/13/2018,,8.3,11.62,3.32
A Quit - Stopped Showing / No Notice,184776,1/10/2018,2/8/2018,8.3,11.29,2.99
Open,186124,2/16/2018,,8.3,11.29,2.99
Assignment Terminated - Attendance,209511,1/1/2018,1/29/2018,8.3,11.29,2.99
Assignment Terminated - No Call / No Show,210513,1/4/2018,1/19/2018,8.3,11.29,2.99
Open,220743,1/11/2018,,8.3,11.29,2.99
Assignment Terminated - Attendance,221213,1/1/2018,1/17/2018,8.3,11.29,2.99
Assignment Terminated - No Reason Given,221968,2/14/2018,2/16/2018,8.3,11.29,2.99
Assignment Terminated - Walk Off Job,222354,2/2/2018,2/6/2018,8.3,11.29,2.99
Open,222885,2/20/2018,,8.3,11.29,2.99
A Quit - Stopped Showing / No Notice,223606,1/24/2018,1/26/2018,8.3,11.29,2.99
A Quit - Stopped Showing / No Notice,184889,2/6/2018,2/6/2018,8.3,10.96,2.66
Open,184977,2/2/2018,,8.3,10.96,2.66
A Quit - Stopped Showing / No Notice,186424,2/7/2018,2/7/2018,8.3,10.96,2.66
A Quit - Stopped Showing / No Notice,187152,1/1/2018,2/2/2018,8.3,10.96,2.66
A Quit - Accepted Job with Client or Other Company,207241,1/1/2018,1/26/2018,8.3,10.96,2.66
Open,208319,2/14/2018,,8.3,10.96,2.66
Rate Change,208659,1/1/2018,2/11/2018,8.3,10.96,2.66
Rate Change,208875,1/1/2018,2/11/2018,8.3,10.96,2.66
Assignment Terminated - Poor Production,220896,2/1/2018,2/14/2018,8.3,10.96,2.66
Open,221122,1/1/2018,,8.3,10.96,2.66
Assignment Terminated - Attendance,221686,1/1/2018,1/2/2018,8.3,10.96,2.66
Open,221813,1/1/2018,,8.3,10.96,2.66
A Quit - Resigned with Notice,222354,1/17/2018,1/24/2018,8.3,10.96,2.66
Assignment Terminated - Attendance,222415,1/5/2018,1/8/2018,8.3,10.96,2.66
Open,222827,2/7/2018,,8.3,10.96,2.66
Assignment Terminated - Violation of Rules,222853,1/2/2018,1/22/2018,8.3,10.96,2.66
Assignment Terminated - Attendance,222883,2/5/2018,2/9/2018,8.3,10.96,2.66
A Quit - Stopped Showing / No Notice,222885,1/10/2018,1/19/2018,8.3,10.96,2.66
Open,223007,2/1/2018,,8.3,10.96,2.66
A Quit - Stopped Showing / No Notice,223076,1/18/2018,1/23/2018,8.3,10.96,2.66
A Quit - Stopped Showing / No Notice,223179,1/8/2018,1/8/2018,8.3,10.96,2.66
Open,224092,1/24/2018,,8.3,10.96,2.66
Open,224212,1/24/2018,,8.3,10.96,2.66
Assignment Terminated - Poor Production,224296,1/25/2018,2/5/2018,8.3,10.96,2.66
Open,224365,1/29/2018,,8.3,10.96,2.66
Assignment Terminated - Poor Production,224611,2/1/2018,2/14/2018,8.3,10.96,2.66
Open,224683,2/2/2018,,8.3,10.96,2.66
Open,224946,2/8/2018,,8.3,10.96,2.66
Open,225055,2/12/2018,,8.3,10.96,2.66
Open,225104,2/13/2018,,8.3,10.96,2.66
Open,225173,2/14/2018,,8.3,10.96,2.66
Open,225274,2/16/2018,,8.3,10.96,2.66
A Quit - Stopped Showing / No Notice,186024,9/8/2017,9/22/2017,8.35,11.36,3.01
Assignment Terminated - Laid Off,186424,10/4/2017,10/13/2017,8.35,11.36,3.01
Assignment Terminated - No Call / No Show,186455,10/2/2017,10/4/2017,8.35,11.36,3.01
Rate Change,221595,12/5/2017,12/31/2017,8.35,11.36,3.01
Rate Change,208226,1/1/2018,2/11/2018,8.44,11.31,2.87
A Quit - Stopped Showing / No Notice,184734,8/24/2017,10/31/2017,8.5,12.6,4.1
Open,185246,8/24/2017,,8.5,12.6,4.1
Customer Cancelled,184444,8/22/2017,8/22/2017,8.5,12.33,3.83
Complete,184521,8/21/2017,8/23/2017,8.5,12.33,3.83
Hired Perm,185182,8/21/2017,10/16/2017,8.5,12.33,3.83
Complete,185371,8/28/2017,8/29/2017,8.5,12.33,3.83
Assignment Terminated - Laid Off,210421,12/28/2017,12/29/2017,8.5,11.56,3.06
A Quit - Stopped Showing / No Notice,221595,1/1/2018,1/5/2018,8.5,11.56,3.06
Rate Change,222750,12/28/2017,12/31/2017,8.5,11.56,3.06
Rate Change,222751,12/28/2017,12/31/2017,8.5,11.56,3.06
Assignment Terminated - Laid Off,222753,12/28/2017,12/29/2017,8.5,11.56,3.06
Assignment Terminated - No Call / No Show,184606,8/10/2017,8/11/2017,8.5,11.31,2.81
Complete,184607,8/10/2017,8/11/2017,8.5,11.31,2.81
Deleted/Mistakenly entered,222445,12/28/2017,12/28/2018,8.5,11.22,2.72
Open,223713,1/15/2018,,8.5,11.22,2.72
Assignment Terminated - Poor Production,223894,1/29/2018,2/6/2018,8.5,11.22,2.72
Rate Change,185253,10/8/2017,10/15/2017,8.5,10.88,2.38
Rate Change,207481,10/11/2017,10/18/2017,8.5,10.88,2.38
A Quit - Resigned with Notice,207683,10/18/2017,10/24/2017,8.5,10.88,2.38
Rate Change,207787,11/3/2017,11/5/2017,8.5,10.88,2.38
Rate Change,208058,10/20/2017,10/20/2017,8.5,10.88,2.38
Rate Change,208058,10/20/2017,11/5/2017,8.5,10.88,2.38
Rate Change,208083,10/20/2017,10/20/2017,8.5,10.88,2.38
Rate Change,208083,10/20/2017,11/5/2017,8.5,10.88,2.38
Rate Change,208509,10/31/2017,11/5/2017,8.5,10.88,2.38
Rate Change,208509,10/31/2017,11/5/2017,8.5,10.88,2.38
Rate Change,208900,11/1/2017,11/5/2017,8.5,10.88,2.38
Rate Change,208900,11/1/2017,11/5/2017,8.5,10.88,2.38
Rate Change,208900,11/1/2017,11/5/2017,8.5,10.88,2.38
Rate Change,209189,11/3/2017,11/5/2017,8.5,10.88,2.38
Open,222750,1/1/2018,,8.65,11.76,3.11
Open,222751,1/1/2018,,8.65,11.76,3.11
A Quit - Stopped Showing / No Notice,185436,10/23/2017,11/8/2017,8.75,11.9,3.15
Released - Not a good fit,186131,10/10/2017,10/11/2017,8.75,11.9,3.15
Assignment Terminated - Poor Production,186131,10/20/2017,11/9/2017,8.75,11.9,3.15
Deleted/Mistakenly entered,186204,10/24/2017,10/24/2017,8.75,11.9,3.15
Rate Change,186247,9/19/2017,11/12/2017,8.75,11.9,3.15
Complete,184167,7/24/2017,10/12/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184173,7/24/2017,8/31/2017,8.75,11.7,2.95
Complete,184188,12/28/2017,12/30/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184245,7/24/2017,8/3/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184266,7/24/2017,8/31/2017,8.75,11.7,2.95
Complete,184285,7/24/2017,8/25/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184324,7/24/2017,8/3/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184327,7/24/2017,8/3/2017,8.75,11.7,2.95
Rate Change,184329,7/24/2017,8/13/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184330,7/24/2017,8/3/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184331,7/24/2017,7/28/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184332,7/24/2017,8/3/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184580,7/31/2017,8/8/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,184774,8/14/2017,9/13/2017,8.75,11.7,2.95
A Quit - Resigned with Notice,184809,8/7/2017,8/31/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184824,8/7/2017,8/16/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184825,8/10/2017,8/31/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,184917,8/16/2017,9/13/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,184988,8/21/2017,9/13/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,184994,8/21/2017,9/13/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,184996,8/15/2017,8/31/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,184996,8/29/2017,9/28/2017,8.75,11.7,2.95
Assignment Terminated - Violation of Rules,184999,8/16/2017,9/14/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,185007,8/15/2017,8/24/2017,8.75,11.7,2.95
Assignment Terminated - Violation of Rules,185008,8/15/2017,9/14/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,185030,10/2/2017,12/7/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,185065,8/14/2017,8/23/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,185069,8/16/2017,10/26/2017,8.75,11.7,2.95
Assignment Terminated - No Reason Given,185070,8/21/2017,9/8/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,185073,8/16/2017,8/17/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,185073,11/28/2017,12/7/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,185102,9/20/2017,10/5/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,185107,8/21/2017,9/27/2017,8.75,11.7,2.95
Assignment Terminated - Poor Production,185129,8/25/2017,9/5/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,185130,8/21/2017,8/31/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,185131,8/21/2017,9/13/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,185234,8/21/2017,9/28/2017,8.75,11.7,2.95
Assignment Terminated - Laid Off,185269,8/15/2017,9/12/2017,8.75,11.7,2.95
Assignment Terminated - No Call / No Show,185270,8/21/2017,8/31/2017,8.75,11.7,2.95
Rate Change,185271,8/22/2017,12/31/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,185613,9/18/2017,9/22/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,185636,8/29/2017,10/2/2017,8.75,11.7,2.95
Complete,185638,8/28/2017,9/7/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,185696,8/23/2017,10/30/2017,8.75,11.7,2.95
Complete,185966,9/18/2017,12/18/2017,8.75,11.7,2.95
Assignment Terminated - No Reason Given,185969,8/28/2017,11/24/2017,8.75,11.7,2.95
Assignment Terminated - Violation of Rules,185969,12/28/2017,1/17/2018,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,185973,8/28/2017,9/14/2017,8.75,11.7,2.95
Assignment Terminated - Violation of Rules,185976,9/6/2017,9/20/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,185976,8/29/2017,9/13/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,186067,9/5/2017,9/21/2017,8.75,11.7,2.95
Open,186067,2/5/2018,,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,186258,9/12/2017,11/2/2017,8.75,11.7,2.95
Assignment Terminated - No Reason Given,186259,9/12/2017,11/24/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,186318,9/21/2017,9/22/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,186319,9/13/2017,9/27/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,186382,9/14/2017,10/6/2017,8.75,11.7,2.95
Complete,186383,9/14/2017,10/12/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,186444,9/15/2017,10/26/2017,8.75,11.7,2.95
Complete,186558,9/18/2017,10/19/2017,8.75,11.7,2.95
Complete,186560,9/18/2017,10/19/2017,8.75,11.7,2.95
Assignment Terminated - No Reason Given,186597,9/18/2017,11/24/2017,8.75,11.7,2.95
Complete,186753,9/21/2017,10/12/2017,8.75,11.7,2.95
Open,186753,11/14/2017,,8.75,11.7,2.95
Assignment Terminated - No Reason Given,186867,9/26/2017,12/8/2017,8.75,11.7,2.95
Open,186867,2/12/2018,,8.75,11.7,2.95
Assignment Terminated - Attendance,186923,9/22/2017,10/2/2017,8.75,11.7,2.95
Open,186925,9/25/2017,,8.75,11.7,2.95
Deleted/Mistakenly entered,186948,9/28/2017,9/28/2017,8.75,11.7,2.95
Assignment Terminated - No Reason Given,186948,9/18/2017,11/24/2017,8.75,11.7,2.95
Open,186948,1/29/2018,,8.75,11.7,2.95
Complete,186969,9/18/2017,10/19/2017,8.75,11.7,2.95
Complete,186971,9/18/2017,10/19/2017,8.75,11.7,2.95
Complete,186973,9/18/2017,10/12/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,186974,9/18/2017,11/2/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,186980,9/18/2017,9/18/2017,8.75,11.7,2.95
Rate Change,207330,9/25/2017,11/5/2017,8.75,11.7,2.95
Assignment Terminated - No Reason Given,207363,9/27/2017,9/27/2017,8.75,11.7,2.95
Open,207363,2/12/2018,,8.75,11.7,2.95
Complete,207368,9/27/2017,10/12/2017,8.75,11.7,2.95
Open,207368,12/26/2017,,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,207372,9/26/2017,10/26/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,207375,9/29/2017,12/14/2017,8.75,11.7,2.95
Complete,207396,10/2/2017,1/21/2018,8.75,11.7,2.95
Assignment Terminated - Walk Off Job,207397,9/27/2017,10/10/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,207397,10/23/2017,11/2/2017,8.75,11.7,2.95
Assignment Terminated - Attendance,207418,9/25/2017,10/6/2017,8.75,11.7,2.95
Assignment Terminated - No Reason Given,207419,9/29/2017,11/24/2017,8.75,11.7,2.95
Assignment Terminated - Violation of Rules,207468,10/2/2017,10/2/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,207480,9/25/2017,10/26/2017,8.75,11.7,2.95
A Quit - Stopped Showing / No Notice,207480,11/7/2017,1/10/2018,8.75,11.7,2.95
