Item_ID,AIdent,Activation,Completion,Pay_Rate,Bill_Rate,Margin,Hours_Worked,Branch,City,How_Heard,Profit
667565,207867,10/16/2017,2/16/2018,10.5,14.14,3.64,677.15,03-Independence,Cleveland ,,2464.826
667225,185895,9/1/2017,,10.25,13.53,3.28,751,06-Akron,Cuyahoga Falls ,,2463.28
666956,185934,10/2/2017,12/17/2017,17,22.7,5.7,431.66,07-Columbus East,columbus ,Walk-In,2460.462
664010,184967,8/18/2017,12/24/2017,9,12.24,3.24,758.25,03-Independence,Cleveland,Friend/Relative Referral,2456.73
665428,186193,9/12/2017,1/26/2018,11.5,15.24,3.74,655.25,11-Florence,independence,Friend/Relative Referral,2450.635
665191,185939,9/6/2017,11/30/2017,11,14.85,3.85,633.8,06-Akron,akron,Friend/Relative Referral,2440.13
666680,187183,10/4/2017,,9.25,12.16,2.91,838,03-Independence,woodmere,Friend/Relative Referral,2438.58
668356,208245,10/20/2017,,11,14.85,3.85,632.69,10-West Chester,cincinnati,Friend/Relative Referral,2435.8565
668838,208760,10/30/2017,,10,14.3,4.3,566.25,05-Elyria,Lakewood,Friend/Relative Referral,2434.875
663152,184161,8/7/2017,12/24/2017,9,12.24,3.24,743.75,03-Independence,Cleveland ,Friend/Relative Referral,2409.75
666227,186405,9/20/2017,1/19/2018,9,12.33,3.33,722.5,05-Elyria,Elyria,Friend/Relative Referral,2405.925
666955,186389,10/2/2017,12/17/2017,17,22.7,5.7,420.38,08-Columbus West,columbus ,Advanced Careers,2396.166
664479,185308,8/23/2017,11/12/2017,11,14.85,3.85,622.2,06-Akron,Uniontown,,2395.47
676177,221756,1/3/2018,,30,38.28,8.28,288,03-Independence,Berea,Indeed,2384.64
668510,207982,10/24/2017,,10.5,13.86,3.36,708,03-Independence,Cleveland,Friend/Relative Referral,2378.88
665361,185503,9/11/2017,12/24/2017,12,15.84,3.84,615.05,07-Columbus East,Cincinnati,Friend/Relative Referral,2361.792
663983,184944,8/17/2017,12/27/2017,9,12.24,3.24,726.25,03-Independence,Maple Hts. ,,2353.05
669402,207391,11/2/2017,,11,14.85,3.85,608.25,06-Akron,Akron,Indeed,2341.7625
668211,208273,10/20/2017,,9,12.06,3.06,765,09-Lancaster,Lancaster,Friend/Relative Referral,2340.9
663405,184415,8/9/2017,12/1/2017,11,14.63,3.63,641,11-Florence,covington,Other web site,2326.83
666416,186951,9/18/2017,,8.25,11.04,2.79,833.75,12-Chicago,Homewood ,,2326.1625
667334,207464,10/11/2017,,9.25,12.16,2.91,797.25,03-Independence,cleveland,Friend/Relative Referral,2319.9975
667615,207457,10/11/2017,,9.25,12.16,2.91,794,03-Independence,cleveland,Friend/Relative Referral,2310.54
667670,186715,10/10/2017,,9.25,12.16,2.91,783.75,03-Independence,Lakewood,Friend/Relative Referral,2280.7125
667464,185852,10/9/2017,12/24/2017,13,17.55,4.55,501.25,09-Lancaster,Lancaster,Walk-In,2280.6875
663806,184517,8/10/2017,1/11/2018,11,14.58,3.58,636,11-Florence,Erlanger,Craigslist,2276.88
668034,208156,10/19/2017,,9.5,12.54,3.04,747.09,03-Independence,cleveland,Walk-In,2271.1536
674823,207815,12/17/2017,,12,15.84,3.84,590.43,11-Florence,Burlington,,2267.2512
665806,186293,9/14/2014,1/7/2018,9.75,12.87,3.12,723.25,06-Akron,Doylestown,,2256.54
663878,184449,8/8/2017,12/4/2017,11,14.63,3.63,621.25,11-Florence,new port ,Friend/Relative Referral,2255.1375
668689,185090,10/16/2017,,9.75,12.87,3.12,721.75,06-Akron,CUYAHOGA FALLS,,2251.86
672721,221080,11/28/2017,,12,16.56,4.56,492.46,07-Columbus East,COLUMBUS OH ,,2245.6176
673163,221796,12/7/2017,,13,17.55,4.55,493.25,12-Chicago,Chicago,Walk-In,2244.2875
665620,184486,9/12/2017,12/29/2017,10,13.3,3.3,679.45,07-Columbus East,columbus,Craigslist,2242.185
665362,186081,9/11/2017,1/8/2018,11,14.58,3.58,618.5,12-Chicago,Joliet,Indeed,2214.23
671245,209962,11/16/2017,,11,15.18,4.18,529.5,09-Lancaster,Lancaster,Craigslist,2213.31
671149,208431,11/6/2017,,11.55,15.36,3.81,578.25,08-Columbus West,Washington Court House,Friend/Relative Referral,2203.1325
666149,186535,9/25/2017,1/10/2018,10.65,14.59,3.94,558.5,05-Elyria,Lorain,Indeed,2200.49
667742,207314,10/9/2017,1/6/2018,11,14.96,3.96,555,05-Elyria,north olmsted,Friend/Relative Referral,2197.8
670964,210125,11/14/2017,,11,14.58,3.58,611.11,06-Akron,Stow,Indeed,2187.7738
673848,221790,12/6/2017,,12.5,16.63,4.13,522.65,11-Florence,cincinnati,Newspaper Ad,2158.5445
664868,184660,8/30/2017,12/1/2017,10.5,14.91,4.41,489.25,05-Elyria,Lorain,Friend/Relative Referral,2157.5925
671248,210283,11/15/2017,,11,15.18,4.18,516,09-Lancaster,logan,Other web site,2156.88
672682,221431,12/1/2017,,13,17.36,4.36,494.1,12-Chicago,Oak Lawn,,2154.276
676238,222270,1/2/2018,,13.5,19.58,6.08,354.25,03-Independence,North Ridgeville,Other web site,2153.84
668322,208163,10/23/2017,,9.25,12.16,2.91,737.25,03-Independence,Cleveland,Craigslist,2145.3975
666527,187012,10/1/2017,2/2/2018,10.25,13.53,3.28,652.5,06-Akron,Akron,Other web site,2140.2
671732,210163,11/15/2017,,11,14.63,3.63,586.75,08-Columbus West,columbus ,Friend/Relative Referral,2129.9025
673314,209602,12/4/2017,,12,15.84,3.84,548,05-Elyria,Elyria,Other web site,2104.32
668793,185541,10/30/2017,,10,13.2,3.2,654.49,08-Columbus West,columbus,Friend/Relative Referral,2094.368
668053,207679,10/17/2017,2/12/2018,10.41,13.95,3.54,588.25,05-Elyria,lorain,Friend/Relative Referral,2082.405
674343,209622,12/11/2017,,11,14.58,3.58,581,12-Chicago,Matteson,,2079.98
667216,187049,10/5/2017,,12,15.96,3.96,524.62,11-Florence,cincinnati,,2077.4952
667917,185691,10/19/2017,,9,12.06,3.06,678.25,09-Lancaster,Lancaster,Indeed,2075.445
674078,221819,12/18/2017,,12,16.62,4.62,448.5,03-Independence,Maple Heights,Indeed,2072.07
666738,186925,9/25/2017,,8.75,11.7,2.95,698.5,12-Chicago,Steger,,2060.575
665938,184550,9/14/2017,11/24/2017,13,17.55,4.55,452.5,12-Chicago,Chicago ,,2058.875
670004,207920,10/30/2017,2/2/2018,10,13.25,3.25,632.8,12-Chicago,woodridge,Friend/Relative Referral,2056.6
669787,209296,11/6/2017,2/2/2018,11.5,15.18,3.68,556.5,07-Columbus East,columbus ,Friend/Relative Referral,2047.92
667553,207885,10/16/2017,1/27/2018,11,14.58,3.58,570,11-Florence,independence,Newspaper Ad,2040.6
664282,184278,8/14/2017,11/15/2017,11.5,15.24,3.74,545.6,12-Chicago,Chicago,Friend/Relative Referral,2040.544
669866,184641,10/31/2017,,10.5,13.55,3.05,667.25,07-Columbus East,COLUMBUS,,2035.1125
672711,209231,11/27/2017,,13,17.16,4.16,489,06-Akron,Medina,,2034.24
667377,184704,10/8/2017,12/16/2017,13.5,17.82,4.32,470.84,12-Chicago,Joliet,Friend/Relative Referral,2034.0288
672587,221187,11/30/2017,,11,14.58,3.58,567.05,06-Akron,Akron,Indeed,2030.039
673074,220914,11/29/2017,,12.5,16.63,4.13,491.46,11-Florence,Cincinnati,Friend/Relative Referral,2029.7298
665949,186435,9/18/2017,1/3/2018,11,14.58,3.58,565.8,12-Chicago,Joliet ,Craigslist,2025.564
667596,207688,10/13/2017,1/22/2018,11,15.18,4.18,484,08-Columbus West,Columbus,Friend/Relative Referral,2023.12
673020,221332,12/1/2017,,15,19.49,4.49,448,03-Independence,Eastlake,Craigslist,2011.52
669955,209619,10/30/2017,1/22/2018,12.5,16.13,3.63,553,07-Columbus East,BLACKLICK,,2007.39
671239,210389,11/15/2017,2/12/2018,11,15.18,4.18,480.17,09-Lancaster,athens,Zip Recruiter,2007.1106
665892,186315,9/11/2017,12/29/2017,11,14.63,3.63,552.75,11-Florence,Buffalo ,Friend/Relative Referral,2006.4825
669200,207561,10/24/2017,1/22/2018,11,14.63,3.63,551.38,08-Columbus West,Grove City ,Friend/Relative Referral,2001.5094
674270,222088,12/12/2017,,13.5,17.96,4.46,446.89,11-Florence,Independence,Friend/Relative Referral,1993.1294
665628,186016,9/8/2017,12/31/2017,13.5,17.01,3.51,567.63,07-Columbus East,Columbus,Walk-In,1992.3813
665894,186087,9/11/2017,1/5/2018,11,14.63,3.63,548.75,11-Florence,Hebron,Craigslist,1991.9625
665742,184730,9/15/2017,12/14/2017,11,15.29,4.29,464.1,05-Elyria,elyria,Indeed,1990.989
665815,186341,9/14/2017,1/2/2018,9.5,12.54,3.04,654.75,03-Independence,cleveland,Friend/Relative Referral,1990.44
671706,210414,11/16/2017,,11,14.74,3.74,530.25,08-Columbus West,columbus,Walk-In,1983.135
672126,210166,11/21/2017,,11,14.63,3.63,546,08-Columbus West,Orient,Craigslist,1981.98
666114,186591,9/20/2017,12/4/2017,10,13.3,3.3,599.5,07-Columbus East,COLUMBUS ,Friend/Relative Referral,1978.35
663876,184631,8/10/2017,11/26/2017,11,14.63,3.63,544.25,11-Florence,florence ,,1975.6275
664004,185018,8/18/2017,11/26/2017,11,14.63,3.63,542.5,11-Florence,Florence,Friend/Relative Referral,1969.275
673323,187180,12/6/2017,,11,15.29,4.29,458.5,05-Elyria,Lorain,,1966.965
668601,186204,10/24/2017,,9.25,12.58,3.33,588.5,09-Lancaster,lancaster,Indeed,1959.705
664729,185271,8/22/2017,12/31/2017,8.75,11.7,2.95,662,12-Chicago,Chicago Heights ,,1952.9
666661,187159,10/2/2017,12/17/2017,14,18.55,4.55,428.45,09-Lancaster,Amanda,,1949.4475
664808,185414,8/28/2017,11/17/2017,10.25,14.66,4.41,439,05-Elyria,Elyria,,1935.99
667383,184719,10/8/2017,12/16/2017,13.85,18.28,4.43,435.41,12-Chicago,Bolingbrook,,1928.8663
667769,207456,10/9/2017,1/17/2018,10,13.3,3.3,582.68,07-Columbus East,Canal Winchester,Other web site,1922.844
669864,184646,10/31/2017,,10,12.9,2.9,663,07-Columbus East,COLUMBUS,,1922.7
664571,185407,8/28/2017,12/3/2017,11,14.63,3.63,528,11-Florence,"Villa Hills,",Craigslist,1916.64
669936,208050,11/2/2017,,9.5,13.02,3.52,543.5,05-Elyria,elyria,Walk-In,1913.12
665524,185680,9/6/2017,11/30/2017,14,18.69,4.69,406.7,07-Columbus East,Columbus,Friend/Relative Referral,1907.423
667930,207479,10/18/2017,1/19/2018,11.5,15.18,3.68,517.5,07-Columbus East,columbus,,1904.4
663893,184664,8/4/2017,12/14/2017,10,13.25,3.25,585.9,12-Chicago,Joliet,,1904.175
665893,186413,9/11/2017,12/31/2017,11,14.63,3.63,522.75,11-Florence,Covington,Friend/Relative Referral,1897.5825
669869,184981,10/31/2017,,10.5,13.55,3.05,621.75,07-Columbus East,COLUMBUS,,1896.3375
666947,207211,10/4/2017,12/17/2017,14,18.55,4.55,415.28,08-Columbus West,columbus,Friend/Relative Referral,1889.524
667613,186626,10/10/2017,,9.25,12.16,2.91,649.25,03-Independence,Cleveland,Zip Recruiter,1889.3175
667384,186722,10/8/2017,12/16/2017,13.85,18.28,4.43,426.26,12-Chicago,Chicago ,,1888.3318
668574,208549,10/26/2017,,9,12.24,3.24,582.75,03-Independence,cleveland,Friend/Relative Referral,1888.11
672409,209256,11/20/2017,,10,13.5,3.5,537.5,05-Elyria,Litchfield,Friend/Relative Referral,1881.25
666886,185778,10/6/2017,1/27/2018,11,14.58,3.58,524.75,11-Florence,florence,Walk-In,1878.605
669890,186189,10/31/2017,,10,12.9,2.9,646.75,07-Columbus East,columbus,,1875.575
673264,221274,12/6/2017,,10,14,4,466.91,06-Akron,CANTON,Craigslist,1867.64
669925,209620,10/31/2017,,10.5,13.55,3.05,607.25,07-Columbus East,COLUMBUS,,1852.1125
669893,186740,10/31/2017,,10,12.9,2.9,638.25,07-Columbus East,REYNOLDSBURG,,1850.925
666115,186589,9/20/2017,12/4/2017,10,13.3,3.3,558.35,07-Columbus East,columbus,Friend/Relative Referral,1842.555
669899,207308,10/31/2017,,10.5,13.55,3.05,604,07-Columbus East,COLUMBUS,,1842.2
673105,221126,11/28/2017,,12,15.96,3.96,463,11-Florence,Burlington,Friend/Relative Referral,1833.48
666997,207465,10/9/2017,12/18/2017,15.75,21.26,5.51,332.75,12-Chicago,Joliet ,Craigslist,1833.4525
669522,209366,11/6/2017,12/29/2017,20,26.1,6.1,300,03-Independence,Cleveland,Friend/Relative Referral,1830
668183,207657,10/17/2017,1/15/2018,12.55,16.94,4.39,416.3,05-Elyria,lorain,Friend/Relative Referral,1827.557
673005,210412,11/30/2017,2/8/2018,11,15.4,4.4,415,06-Akron,Ravenna,Friend/Relative Referral,1826
667360,187165,10/3/2017,2/2/2018,11,15.41,4.41,413.95,14-Louisville,Louisville,Craigslist,1825.5195
675587,222470,1/5/2018,,14,19.39,5.39,337.92,03-Independence,Cleveland,Indeed,1821.3888
667641,207857,10/17/2017,1/19/2018,11,14.52,3.52,514.75,07-Columbus East,COLUMBUS,Friend/Relative Referral,1811.92
667647,187147,10/9/2017,1/8/2018,12.55,16.94,4.39,411.3,05-Elyria,Lorain ,Zip Recruiter,1805.607
673149,221603,12/5/2017,,11.75,15.86,4.11,437.28,07-Columbus East,COLUMBUS,Friend/Relative Referral,1797.2208
666636,186641,9/25/2017,11/30/2017,10.5,14.91,4.41,407.5,05-Elyria,Cleveland,Zip Recruiter,1797.075
670969,209137,11/14/2017,2/12/2018,12,15.84,3.84,464,09-Lancaster,Lancaster,Friend/Relative Referral,1781.76
672451,221182,11/29/2017,,11,14.58,3.58,496.75,06-Akron,Stow,Indeed,1778.365
674084,208559,12/12/2017,,12.5,16.63,4.13,429.93,11-Florence,Amelia ,Friend/Relative Referral,1775.6109
669906,207737,10/31/2017,,10,12.9,2.9,611,07-Columbus East,Pataskala,,1771.9
669025,208308,10/27/2017,,9,11.43,2.43,727.55,08-Columbus West,columbus,Friend/Relative Referral,1767.9465
667148,207510,10/9/2017,1/11/2018,9,12.06,3.06,577,09-Lancaster,Junction City,,1765.62
669921,208963,10/31/2017,,10,12.9,2.9,608.5,07-Columbus East,Columbus,,1764.65
674085,208607,12/12/2017,,12.5,16.63,4.13,427.22,11-Florence,Amelia,Friend/Relative Referral,1764.4186
674210,221888,12/11/2017,,12.12,16.24,4.12,423.75,08-Columbus West,Columbus,Walk-In,1745.85
667422,207319,10/12/2017,1/15/2018,10,13.2,3.2,544.75,07-Columbus East,COLUMBUS,Indeed,1743.2
671508,187007,11/16/2017,,10.25,13.53,3.28,529.75,06-Akron,Akron,Other web site,1737.58
667671,186663,10/10/2017,,9.25,12.16,2.91,595.75,03-Independence,Cleveland,Friend/Relative Referral,1733.6325
673766,221404,12/4/2017,,10.5,14.14,3.64,475.33,03-Independence,CLEVELAND ,Craigslist,1730.2012
671393,186651,11/20/2017,,12.15,16.4,4.25,406.89,07-Columbus East,columbus ohio,Friend/Relative Referral,1729.2825
669074,208294,10/25/2017,12/20/2017,15,19.88,4.88,354.2,07-Columbus East,columbus,Friend/Relative Referral,1728.496
669872,184975,10/31/2017,,10.5,13.55,3.05,564.25,07-Columbus East,COLUMBUS,,1720.9625
674202,221938,12/11/2017,,11,14.85,3.85,443.83,12-Chicago,Burbank,Indeed,1708.7455
674015,221760,12/12/2017,,10,14.5,4.5,379.5,05-Elyria,Grafton,Friend/Relative Referral,1707.75
673247,210097,11/13/2017,,11,15.18,4.18,408.5,09-Lancaster,logan,Indeed,1707.53
673216,186352,12/7/2017,,11,14.85,3.85,443.02,12-Chicago,Chicago Ridge,Friend/Relative Referral,1705.627
667816,184156,10/9/2017,12/29/2017,12,15.96,3.96,430.51,11-Florence,elsmere,Friend/Relative Referral,1704.8196
669688,208372,11/3/2017,,12,15.96,3.96,430.42,08-Columbus West,Galloway,,1704.4632
670400,208899,11/13/2017,,10,13.3,3.3,516,08-Columbus West,columbus,Walk-In,1702.8
673217,186353,12/7/2017,,11,14.85,3.85,441.86,12-Chicago,chicago,Friend/Relative Referral,1701.161
675878,222101,1/1/2018,,15.1,20.39,5.29,321.25,12-Chicago,Chicago ,Indeed,1699.4125
669873,184998,10/31/2017,,10.5,13.55,3.05,555.25,07-Columbus East,Columbus,,1693.5125
674413,222298,12/19/2017,,15.75,21.26,5.51,307.25,12-Chicago,Berwyn,Craigslist,1692.9475
668340,208267,10/24/2017,1/29/2018,10,13.2,3.2,528.53,09-Lancaster,Shawnee,Indeed,1691.296
669733,209532,11/1/2017,,10.5,13.55,3.05,553.5,07-Columbus East,COLUMBUS,,1688.175
667186,207593,10/10/2017,1/15/2018,11,14.52,3.52,478.75,09-Lancaster,Columbus,Friend/Relative Referral,1685.2
669868,184986,10/31/2017,,10,12.9,2.9,581,07-Columbus East,COLUMBUS,,1684.9
663501,184641,7/30/2017,10/30/2017,10.5,13.55,3.05,550.5,07-Columbus East,COLUMBUS,,1679.025
670399,209020,11/13/2017,,10,13.3,3.3,506,08-Columbus West,columbus ,,1669.8
673400,221789,12/11/2017,,12.12,16.24,4.12,405,08-Columbus West,Columbus,Walk-In,1668.6
667672,207725,10/13/2017,,10,13.8,3.8,437.65,08-Columbus West,Westerville,Friend/Relative Referral,1663.07
671498,210078,11/14/2017,1/17/2018,12,17.28,5.28,314.75,05-Elyria,Lorain,Friend/Relative Referral,1661.88
