Item_ID,AIdent,Hours_Worked,Activation,Completion
663672,184257,9.25,8/13/2017,8/20/2017
663622,184259,192,8/6/2017,9/10/2017
665235,184259,71,9/10/2017,9/24/2017
663019,184260,3.5,7/23/2017,7/30/2017
670299,184262,129,11/5/2017,12/10/2017
663020,184263,5.5,7/23/2017,10/8/2017
667307,184263,14,10/8/2017,10/15/2017
663015,184266,72,7/23/2017,8/27/2017
663791,184267,39.38,8/6/2017,8/20/2017
664920,184267,463.75,8/27/2017,11/12/2017
676824,184267,56,1/21/2018,2/4/2018
663210,184269,47.1,7/30/2017,8/13/2017
666093,184269,98.2,9/17/2017,10/8/2017
666721,184269,85.64,10/1/2017,10/8/2017
667477,184269,205,10/8/2017,11/19/2017
667539,184269,54.44,10/8/2017,10/15/2017
671755,184269,93.02,11/19/2017,12/10/2017
671803,184269,27.5,11/12/2017,11/19/2017
663213,184271,56.8,7/30/2017,8/13/2017
664282,184278,545.6,8/13/2017,11/19/2017
672248,184278,312.2,11/19/2017,1/28/2018
677212,184278,20.29,1/21/2018,2/11/2018
676075,184280,8.58,12/31/2017,1/14/2018
663045,184285,7.5,8/20/2017,8/27/2017
663081,184285,52.5,7/23/2017,8/20/2017
664426,184289,356.25,8/20/2017,10/29/2017
672810,184289,145.35,12/3/2017,12/24/2017
664834,184291,7.25,8/27/2017,9/3/2017
676909,184293,1.5,1/14/2018,1/21/2018
663881,184294,511.75,8/6/2017,11/12/2017
663358,184296,72.25,7/30/2017,8/20/2017
663111,184297,174,7/30/2017,9/10/2017
663112,184298,8,7/30/2017,8/6/2017
664027,184299,16,8/20/2017,8/27/2017
663179,184301,33.75,8/6/2017,8/13/2017
667736,184302,30.5,10/8/2017,10/15/2017
675243,184302,31,12/17/2017,12/24/2017
663929,184305,9,8/6/2017,8/13/2017
663143,184306,351.25,8/6/2017,10/8/2017
663757,184308,426.25,8/13/2017,10/22/2017
663220,184309,50,7/30/2017,8/13/2017
675323,184309,136.24,12/24/2017,1/28/2018
663507,184310,13.5,8/6/2017,8/13/2017
663928,184311,9,8/6/2017,8/13/2017
663795,184312,123.5,8/6/2017,8/27/2017
664788,184312,128.75,8/27/2017,9/24/2017
666128,184312,74,9/17/2017,10/8/2017
663828,184313,24,8/13/2017,8/20/2017
676460,184318,32.25,1/7/2018,1/21/2018
664256,184320,433.73,8/6/2017,10/22/2017
663166,184321,16.83,8/6/2017,8/13/2017
663777,184321,7.3,8/6/2017,8/13/2017
663803,184321,281.14,8/6/2017,11/26/2017
672719,184321,8.3,11/26/2017,12/3/2017
673718,184321,95,12/3/2017,12/31/2017
664257,184323,269.62,8/6/2017,9/24/2017
663088,184324,7.5,7/23/2017,7/30/2017
663538,184326,41.5,7/30/2017,9/3/2017
664765,184326,725.5,8/20/2017,2/25/2018
666359,184326,538.75,9/17/2017,2/25/2018
663089,184327,4,7/23/2017,7/30/2017
663086,184329,30,7/23/2017,7/30/2017
663092,184329,75,7/30/2017,8/13/2017
664003,184329,26.5,8/13/2017,8/27/2017
663087,184330,7.5,7/23/2017,7/30/2017
663085,184331,7.5,7/23/2017,7/30/2017
663090,184332,20,7/23/2017,7/30/2017
663097,184332,22.5,7/30/2017,8/13/2017
663091,184336,25,7/23/2017,8/13/2017
663771,184337,63.6,8/6/2017,8/20/2017
663606,184338,328,8/6/2017,10/29/2017
670306,184338,63.23,11/5/2017,11/26/2017
673757,184338,2.5,12/3/2017,12/10/2017
674950,184338,20.75,12/17/2017,12/24/2017
676952,184338,19.25,1/14/2018,1/21/2018
663760,184344,45.32,8/13/2017,8/27/2017
667167,184344,26.26,10/1/2017,10/8/2017
667548,184344,48.65,10/8/2017,10/22/2017
668871,184344,30.5,10/22/2017,11/5/2017
677335,184344,4,1/21/2018,1/28/2018
663531,184346,30.5,7/30/2017,8/13/2017
663532,184346,8,7/30/2017,8/6/2017
663969,184346,79.25,8/6/2017,10/29/2017
663970,184346,76,8/6/2017,2/25/2018
664245,184346,109,8/13/2017,2/25/2018
664246,184346,10,8/13/2017,8/20/2017
663503,184353,8,7/30/2017,8/20/2017
678043,184356,100,2/11/2018,2/25/2018
663790,184357,27.67,8/6/2017,8/20/2017
665460,184357,161.75,9/10/2017,10/22/2017
663792,184358,18.42,8/6/2017,8/20/2017
663511,184360,30.75,7/30/2017,1/7/2018
666354,184360,156,9/17/2017,11/5/2017
676625,184360,13,1/7/2018,1/14/2018
663793,184363,19.8,8/6/2017,8/13/2017
663345,184366,177.25,7/30/2017,9/17/2017
663438,184369,131.29,8/6/2017,9/3/2017
665490,184369,324.48,9/10/2017,11/19/2017
672091,184369,12.46,11/19/2017,11/26/2017
673707,184369,21.5,12/3/2017,12/17/2017
663478,184371,423,8/6/2017,12/3/2017
669195,184372,13.5,10/29/2017,11/5/2017
663306,184373,8,8/6/2017,8/13/2017
663612,184375,77.75,8/6/2017,8/27/2017
669270,184376,20.5,10/22/2017,11/5/2017
663261,184378,80,8/6/2017,8/27/2017
663278,184379,117.25,8/6/2017,9/3/2017
663880,184380,221,8/6/2017,9/17/2017
664757,184380,40,8/20/2017,8/27/2017
663999,184384,108,8/13/2017,9/17/2017
663298,184385,160,7/30/2017,9/3/2017
663608,184386,63.75,8/6/2017,8/27/2017
664573,184386,4,8/27/2017,9/3/2017
664022,184399,89,8/13/2017,9/24/2017
666446,184399,52,9/24/2017,10/15/2017
663785,184405,52.46,8/6/2017,9/3/2017
663590,184406,0.75,8/6/2017,8/13/2017
663597,184406,261,8/6/2017,10/15/2017
663607,184407,335.5,8/6/2017,10/29/2017
670309,184407,39.56,11/12/2017,11/26/2017
670312,184407,23.38,11/5/2017,11/12/2017
673759,184407,2.5,12/3/2017,12/10/2017
674957,184407,21,12/17/2017,12/24/2017
676547,184407,51.25,1/7/2018,1/21/2018
663409,184408,32,8/6/2017,8/13/2017
663405,184415,641,8/6/2017,12/3/2017
663997,184416,215.5,8/6/2017,10/1/2017
666452,184416,23.97,9/24/2017,10/1/2017
666990,184416,172.72,10/1/2017,10/29/2017
670069,184416,270.6,10/29/2017,12/17/2017
675972,184416,5,1/7/2018,1/14/2018
676106,184416,103,1/7/2018,1/28/2018
663635,184421,805.75,8/6/2017,12/3/2017
668465,184425,25.05,10/15/2017,10/22/2017
668713,184425,19.9,10/22/2017,10/29/2017
663674,184427,24,8/13/2017,8/20/2017
671505,184428,28.65,11/12/2017,11/19/2017
663295,184429,20,8/6/2017,8/13/2017
663761,184429,308.51,8/13/2017,10/8/2017
665980,184429,8.2,9/10/2017,9/17/2017
667501,184429,3.23,10/8/2017,10/15/2017
667533,184429,376.92,10/8/2017,12/3/2017
673426,184429,80.14,12/3/2017,12/17/2017
675068,184429,89.47,12/17/2017,12/31/2017
675775,184429,299.58,12/31/2017,2/25/2018
663320,184430,82.01,8/6/2017,8/27/2017
675887,184430,133,12/31/2017,2/4/2018
663321,184431,78.67,8/6/2017,8/20/2017
663573,184432,31.1,8/6/2017,8/13/2017
664016,184432,244.47,8/13/2017,10/8/2017
667534,184432,283.16,10/8/2017,11/26/2017
672788,184432,35.63,11/26/2017,12/3/2017
672933,184432,0.2,11/26/2017,12/3/2017
673521,184432,64.6,12/3/2017,12/17/2017
675017,184432,99.03,12/17/2017,12/31/2017
675706,184432,159.91,12/31/2017,1/28/2018
663394,184435,8,8/6/2017,8/13/2017
664590,184437,8,8/20/2017,8/27/2017
663574,184439,7.25,8/6/2017,8/13/2017
663185,184440,23.75,7/30/2017,8/13/2017
663539,184446,7.75,7/30/2017,8/6/2017
663878,184449,621.25,8/6/2017,11/19/2017
663517,184451,4,7/30/2017,8/6/2017
665220,184451,113,8/27/2017,2/25/2018
663739,184452,495.25,8/6/2017,10/29/2017
663456,184456,6.5,7/30/2017,8/6/2017
663452,184460,6.75,7/30/2017,8/6/2017
663292,184462,35,8/6/2017,8/13/2017
672890,184467,220.6,11/26/2017,1/14/2018
672365,184471,1.75,11/19/2017,11/26/2017
663279,184472,30,8/6/2017,8/13/2017
663816,184474,8,8/13/2017,8/20/2017
663600,184476,58.25,8/6/2017,8/20/2017
663601,184477,58.25,8/6/2017,8/20/2017
663228,184484,87.15,8/6/2017,8/27/2017
665620,184486,679.45,9/10/2017,12/31/2017
663808,184488,77.75,8/6/2017,9/3/2017
668386,184488,45.63,10/22/2017,11/5/2017
670658,184488,121.42,11/5/2017,12/10/2017
663889,184495,39.9,8/6/2017,8/20/2017
663871,184506,70.5,8/6/2017,8/20/2017
663396,184508,376.75,8/6/2017,10/8/2017
663533,184510,4,7/30/2017,8/6/2017
663984,184510,719,8/6/2017,2/25/2018
663520,184512,22,8/6/2017,8/13/2017
663806,184517,636,8/6/2017,12/17/2017
668854,184518,100.5,10/29/2017,11/19/2017
672296,184518,142.75,11/19/2017,12/10/2017
663809,184519,205.25,8/6/2017,9/24/2017
663892,184521,4.5,8/13/2017,8/20/2017
664622,184521,10.75,8/20/2017,8/27/2017
672344,184523,0.5,11/19/2017,11/26/2017
663314,184526,19,8/6/2017,8/13/2017
663585,184528,24,8/6/2017,8/13/2017
663630,184528,73.4,8/13/2017,8/27/2017
663491,184529,101.5,7/30/2017,8/20/2017
663487,184530,8,7/30/2017,8/6/2017
663934,184532,38,8/6/2017,8/13/2017
664192,184535,24,8/13/2017,8/20/2017
664166,184538,230.5,8/20/2017,10/1/2017
666809,184538,64.07,10/1/2017,10/15/2017
668001,184538,39.89,10/15/2017,10/22/2017
668669,184538,72.21,10/22/2017,11/5/2017
670541,184538,276.13,11/5/2017,12/17/2017
674767,184538,357.43,12/17/2017,2/25/2018
663890,184543,288.3,8/13/2017,10/15/2017
663541,184547,56,8/6/2017,8/20/2017
663391,184550,147.5,8/6/2017,9/3/2017
665938,184550,452.5,9/10/2017,11/26/2017
674276,184550,45,12/17/2017,12/31/2017
663815,184554,267.25,8/6/2017,10/1/2017
668411,184554,99.5,10/22/2017,11/12/2017
672230,184554,11.37,11/19/2017,11/26/2017
672677,184554,34.1,11/26/2017,12/10/2017
663403,184558,39,8/6/2017,8/20/2017
663906,184559,326.5,8/6/2017,10/15/2017
669701,184559,111.8,11/5/2017,11/26/2017
672453,184559,7.5,11/26/2017,12/3/2017
663357,184560,13.5,7/30/2017,8/6/2017
674956,184563,8,12/17/2017,12/24/2017
663526,184564,3,7/30/2017,8/6/2017
663967,184564,761.75,8/6/2017,2/25/2018
663536,184567,5,7/30/2017,11/5/2017
664248,184567,1032.5,8/13/2017,2/25/2018
663917,184571,19.3,8/6/2017,8/13/2017
665378,184572,7.5,9/3/2017,9/10/2017
663641,184576,35.75,8/6/2017,8/20/2017
663371,184580,30,7/30/2017,8/13/2017
663559,184581,12.48,8/6/2017,8/20/2017
663774,184581,7.32,8/6/2017,8/13/2017
664270,184581,98.1,8/13/2017,9/3/2017
663558,184582,13.1,8/6/2017,8/20/2017
663775,184582,7.32,8/6/2017,8/13/2017
664269,184582,160,8/13/2017,9/17/2017
666788,184582,13.2,9/17/2017,9/24/2017
664063,184586,189,8/20/2017,10/1/2017
663677,184587,356.75,8/6/2017,10/15/2017
663555,184588,8,8/6/2017,8/13/2017
669530,184588,243.83,11/5/2017,12/24/2017
663676,184589,704,8/6/2017,12/10/2017
663596,184590,17.75,8/6/2017,8/20/2017
665733,184591,72,9/10/2017,9/24/2017
665201,184592,860.69,9/3/2017,2/25/2018
674627,184594,84.75,12/17/2017,1/14/2018
664171,184603,97,8/20/2017,9/3/2017
663662,184606,10,8/6/2017,8/13/2017
664675,184606,20,8/20/2017,8/27/2017
663661,184607,10,8/6/2017,8/13/2017
664674,184607,15.5,8/20/2017,8/27/2017
678387,184607,41.75,2/11/2018,2/25/2018
663814,184611,17.75,8/6/2017,8/20/2017
663801,184614,176,8/6/2017,9/10/2017
665943,184614,294,9/10/2017,10/29/2017
668081,184615,36.73,10/15/2017,10/22/2017
668712,184615,81.52,10/22/2017,11/5/2017
670572,184615,91.39,11/5/2017,11/26/2017
663554,184616,3.75,8/6/2017,8/13/2017
663610,184617,25.5,8/6/2017,8/20/2017
664567,184617,41,8/27/2017,9/10/2017
663563,184623,8.75,8/6/2017,8/13/2017
664376,184623,8,8/20/2017,8/27/2017
663876,184631,544.25,8/6/2017,11/19/2017
663758,184633,12,8/6/2017,8/13/2017
663766,184635,12,8/6/2017,8/13/2017
665063,184635,0,8/27/2017,9/3/2017
666067,184635,1.25,8/27/2017,9/3/2017
663966,184637,12,8/6/2017,9/3/2017
664760,184637,10,8/20/2017,8/27/2017
665659,184637,198.25,9/3/2017,2/25/2018
663577,184639,40,8/6/2017,8/20/2017
663500,184640,355.5,7/30/2017,10/8/2017
669140,184640,48,10/22/2017,11/5/2017
669914,184640,513.25,10/29/2017,2/25/2018
663501,184641,550.5,7/30/2017,11/5/2017
669866,184641,667.25,10/29/2017,2/25/2018
663502,184643,30,7/30/2017,8/6/2017
663807,184644,47,8/6/2017,8/20/2017
663505,184645,539.25,7/30/2017,11/5/2017
669865,184645,16,10/29/2017,11/5/2017
663506,184646,545,7/30/2017,11/5/2017
669864,184646,663,10/29/2017,2/25/2018
664145,184649,46.25,8/13/2017,8/27/2017
665075,184649,518.5,8/27/2017,11/19/2017
663633,184650,188,8/13/2017,10/8/2017
667530,184650,157.57,10/8/2017,12/3/2017
663769,184653,2,8/13/2017,8/20/2017
663938,184654,18.5,8/6/2017,10/1/2017
665217,184654,185.75,8/27/2017,11/5/2017
664868,184660,489.25,8/27/2017,12/3/2017
663582,184661,64,8/6/2017,8/27/2017
663893,184664,585.9,8/6/2017,12/10/2017
664738,184666,15.2,8/20/2017,8/27/2017
663910,184670,105,8/6/2017,9/3/2017
663765,184671,32,8/6/2017,8/20/2017
665491,184671,46,9/3/2017,9/17/2017
663762,184673,8,8/6/2017,8/13/2017
663628,184676,24,8/13/2017,8/20/2017
664798,184676,35.5,8/27/2017,9/10/2017
676392,184676,188.5,1/14/2018,2/18/2018
664152,184678,28.75,8/13/2017,8/20/2017
664502,184678,78.64,8/27/2017,9/17/2017
663909,184679,4,8/6/2017,8/13/2017
663907,184681,22.5,8/6/2017,8/13/2017
663615,184682,39.5,8/13/2017,8/27/2017
664367,184691,6,8/13/2017,8/20/2017
663964,184693,983.75,8/13/2017,2/18/2018
678286,184693,40,2/18/2018,2/25/2018
663670,184694,7.75,8/13/2017,8/20/2017
663827,184701,23.92,8/13/2017,8/20/2017
665920,184702,101,9/10/2017,10/8/2017
668410,184702,93.5,10/22/2017,11/12/2017
672229,184702,5.68,11/19/2017,11/26/2017
663651,184704,346.19,8/13/2017,10/8/2017
667377,184704,470.84,10/8/2017,12/17/2017
674475,184704,407.72,12/17/2017,2/25/2018
664511,184709,183.75,8/20/2017,9/24/2017
666431,184709,71.25,9/24/2017,10/22/2017
668461,184709,835,10/15/2017,2/25/2018
664366,184712,6,8/13/2017,8/20/2017
664193,184716,788.75,8/13/2017,1/14/2018
663975,184717,3,8/6/2017,8/13/2017
663986,184717,92.25,8/6/2017,9/3/2017
664628,184719,40.75,8/20/2017,8/27/2017
665002,184719,247.24,8/27/2017,10/8/2017
667383,184719,435.41,10/8/2017,12/17/2017
674480,184719,172.25,12/17/2017,1/28/2018
666396,184723,39.5,9/24/2017,10/8/2017
667223,184723,129.5,10/1/2017,11/12/2017
671398,184723,36.25,11/12/2017,12/3/2017
663632,184725,54.13,8/13/2017,9/10/2017
667610,184727,49.5,10/8/2017,10/15/2017
667248,184728,49.58,10/8/2017,10/15/2017
668019,184728,30.12,10/15/2017,10/22/2017
668684,184728,51.53,10/22/2017,11/5/2017
670552,184728,271.81,11/5/2017,12/24/2017
674521,184728,148.5,12/17/2017,1/28/2018
665742,184730,464.1,9/10/2017,12/24/2017
676775,184731,209.33,1/14/2018,2/25/2018
666086,184732,58.5,9/17/2017,10/8/2017
664014,184733,251,8/13/2017,9/24/2017
664742,184734,326.76,8/20/2017,10/22/2017
666757,184737,14.75,9/24/2017,10/1/2017
664067,184738,8,8/13/2017,8/20/2017
664069,184739,20,8/13/2017,8/20/2017
664442,184740,298.63,8/20/2017,10/15/2017
667963,184740,646.56,10/15/2017,2/25/2018
664563,184741,15,8/27/2017,9/3/2017
664068,184742,8,8/13/2017,8/20/2017
664593,184744,124.5,8/20/2017,9/17/2017
663860,184745,32,8/13/2017,8/27/2017
664415,184745,44.81,8/20/2017,9/3/2017
676734,184755,3.5,1/7/2018,1/14/2018
669005,184756,169.25,10/22/2017,11/26/2017
672012,184756,11.2,11/19/2017,12/3/2017
664074,184767,368,8/13/2017,10/29/2017
664091,184768,8,8/13/2017,8/20/2017
666719,184768,258.25,10/1/2017,11/19/2017
672800,184768,24,12/3/2017,12/10/2017
673229,184768,13.25,12/2/2017,12/16/2017
664369,184769,6,8/13/2017,8/20/2017
664368,184770,6,8/13/2017,8/20/2017
663678,184774,75,8/13/2017,9/10/2017
665613,184774,56,9/10/2017,9/24/2017
663862,184776,80,8/13/2017,9/3/2017
667568,184776,7.5,10/15/2017,10/22/2017
676143,184776,173,1/7/2018,2/11/2018
664021,184777,16,8/13/2017,8/20/2017
664364,184779,61.26,8/13/2017,8/27/2017
664260,184784,287,8/13/2017,10/15/2017
664097,184788,32,8/13/2017,8/20/2017
663813,184792,48,8/13/2017,8/27/2017
666177,184792,24.87,9/17/2017,9/24/2017
665823,184793,7,9/17/2017,9/24/2017
676152,184793,12.25,12/31/2017,1/7/2018
664092,184794,197,8/13/2017,9/17/2017
663824,184805,15,8/13/2017,8/20/2017
675842,184805,230.9,12/31/2017,2/25/2018
663783,184806,144.5,8/13/2017,9/10/2017
663825,184807,15,8/13/2017,8/20/2017
675844,184807,230.9,12/31/2017,2/25/2018
664359,184808,5.2,8/13/2017,8/20/2017
663911,184809,105,8/6/2017,8/27/2017
665174,184809,36.25,8/27/2017,9/10/2017
663782,184810,384.5,8/13/2017,10/15/2017
678133,184817,32,2/11/2018,2/25/2018
664314,184823,16,8/13/2017,8/20/2017
663935,184824,45,8/6/2017,8/20/2017
663912,184825,82,8/6/2017,8/27/2017
663726,184827,45.75,8/13/2017,8/27/2017
664303,184832,91.75,8/20/2017,9/17/2017
663823,184834,27.95,8/13/2017,8/20/2017
664182,184835,292.25,8/13/2017,10/22/2017
664819,184835,11,8/13/2017,8/20/2017
664310,184836,218,8/13/2017,9/24/2017
664456,184837,6.33,8/20/2017,8/27/2017
664365,184841,21.83,8/13/2017,8/20/2017
664363,184843,16.68,8/13/2017,8/20/2017
664093,184845,1140,8/13/2017,2/25/2018
664178,184846,4,8/13/2017,8/20/2017
664225,184847,23.65,8/20/2017,8/27/2017
664094,184859,752,8/13/2017,12/24/2017
675506,184859,352,12/24/2017,2/25/2018
664349,184860,399.59,8/13/2017,11/5/2017
670460,184860,286.13,11/5/2017,12/17/2017
674640,184860,63.32,12/17/2017,12/31/2017
663865,184861,137.5,8/13/2017,9/10/2017
663866,184862,133.5,8/13/2017,9/10/2017
665352,184862,1035.5,9/10/2017,2/25/2018
664250,184866,32,8/13/2017,8/27/2017
666715,184866,126.33,10/1/2017,10/22/2017
668558,184867,22.92,10/22/2017,11/5/2017
663768,184870,281.13,8/13/2017,10/8/2017
667497,184870,300.94,10/8/2017,12/3/2017
673406,184870,79.27,12/3/2017,12/17/2017
675028,184870,63.47,12/17/2017,12/31/2017
675717,184870,20.35,12/31/2017,1/7/2018
676021,184870,237.69,1/7/2018,2/25/2018
664266,184871,331.1,8/13/2017,10/29/2017
669484,184871,22.5,10/22/2017,10/29/2017
666569,184872,2,10/1/2017,10/8/2017
668843,184872,3,10/22/2017,10/29/2017
664017,184873,76.22,8/13/2017,9/3/2017
664265,184874,22.5,8/13/2017,8/20/2017
664261,184875,82.2,8/13/2017,9/3/2017
663919,184877,59,8/13/2017,8/27/2017
664527,184878,10,8/20/2017,8/27/2017
664360,184879,13.75,8/13/2017,8/20/2017
664241,184881,96.5,8/13/2017,9/3/2017
664356,184882,302.44,8/13/2017,10/22/2017
663852,184885,24.56,8/13/2017,8/27/2017
677678,184889,8,2/4/2018,2/11/2018
664328,184893,19.97,8/13/2017,8/20/2017
664342,184893,84.82,8/20/2017,9/10/2017
673401,184893,132.25,12/10/2017,1/14/2018
664195,184895,46,8/13/2017,8/27/2017
664577,184895,47.44,8/20/2017,9/3/2017
664329,184896,23,8/13/2017,8/20/2017
664341,184896,84.7,8/20/2017,9/10/2017
664436,184898,71.92,8/20/2017,9/3/2017
664101,184899,56,8/13/2017,8/27/2017
664934,184899,88,8/27/2017,9/17/2017
664019,184901,885,8/13/2017,12/3/2017
664053,184903,906.5,8/13/2017,2/25/2018
664102,184904,56,8/13/2017,8/27/2017
664930,184904,376,8/27/2017,11/5/2017
665380,184905,7.5,9/3/2017,9/10/2017
665878,184905,104.42,9/17/2017,10/8/2017
667085,184905,152.22,10/8/2017,11/5/2017
671016,184905,176.1,11/5/2017,12/3/2017
672935,184905,5.75,11/26/2017,12/3/2017
673480,184905,2.23,12/3/2017,12/10/2017
664156,184906,63,8/13/2017,8/27/2017
664147,184907,52.75,8/13/2017,8/27/2017
663995,184908,12,8/13/2017,8/20/2017
671008,184908,14.5,11/5/2017,12/3/2017
664347,184911,21.25,8/13/2017,8/20/2017
664346,184912,21.25,8/13/2017,8/20/2017
664348,184913,21.25,8/13/2017,8/20/2017
664001,184914,55.49,8/13/2017,9/3/2017
665375,184914,108,9/3/2017,10/1/2017
666702,184914,8,10/1/2017,10/8/2017
667098,184914,0,10/1/2017,10/8/2017
667168,184914,20.67,10/1/2017,10/8/2017
667549,184914,12.95,10/8/2017,10/15/2017
667728,184914,8,10/8/2017,10/15/2017
664362,184916,284.44,8/13/2017,10/15/2017
664394,184917,97.5,8/13/2017,9/10/2017
664361,184918,179.39,8/13/2017,9/24/2017
665567,184926,132.5,9/3/2017,10/1/2017
666868,184926,383.75,10/1/2017,12/10/2017
664350,184929,5,8/13/2017,8/20/2017
664768,184934,120.63,8/27/2017,9/17/2017
672362,184934,2.25,11/19/2017,11/26/2017
664059,184938,7.6,8/20/2017,8/27/2017
664176,184938,286.71,8/20/2017,10/8/2017
667499,184938,391.86,10/8/2017,12/3/2017
673407,184938,71.49,12/3/2017,12/17/2017
675029,184938,91.05,12/17/2017,12/31/2017
675718,184938,239.15,12/31/2017,2/25/2018
664358,184939,428.11,8/13/2017,11/5/2017
670402,184939,283.23,11/5/2017,12/17/2017
667653,184941,21.49,10/15/2017,10/22/2017
668818,184941,21.12,10/22/2017,11/5/2017
671117,184941,127.29,11/5/2017,12/10/2017
663983,184944,726.25,8/13/2017,12/24/2017
664007,184948,8,8/13/2017,8/20/2017
664438,184948,144.75,8/20/2017,9/17/2017
665521,184948,254.25,9/17/2017,11/5/2017
664355,184950,163.64,8/13/2017,9/24/2017
664488,184951,39,8/27/2017,9/10/2017
664354,184952,88.86,8/13/2017,9/10/2017
663903,184953,21.5,8/6/2017,12/17/2017
663904,184953,696,8/6/2017,2/11/2018
664199,184953,8,8/13/2017,8/20/2017
664722,184953,252.25,8/20/2017,1/7/2018
665514,184953,41.75,9/3/2017,1/14/2018
675482,184953,18,12/24/2017,1/14/2018
676449,184953,5.75,1/7/2018,1/14/2018
664774,184954,4.5,8/20/2017,8/27/2017
663897,184955,6,7/30/2017,8/6/2017
667331,184955,27.5,10/1/2017,10/8/2017
664688,184957,31.5,8/20/2017,9/3/2017
663898,184958,469.5,8/6/2017,11/5/2017
669874,184958,508,10/29/2017,2/25/2018
663899,184960,7.5,8/6/2017,8/13/2017
