,Item_ID,AIdent,Activation,Completion,Pay_Rate,Bill_Rate,Margin,Hours_Worked,Branch,City,How_Heard,Profit
172,670750,208873,11/5/2017,12/3/2017,16,20.96,4.96,152.37,11-Florence,Cincinnati,Indeed,755.7552
173,669347,208873,11/1/2017,11/4/2017,15,19.8,4.8,15.69,11-Florence,Cincinnati,Indeed,75.312
174,670756,208916,11/5/2017,11/10/2017,16,20.96,4.96,35.57,11-Florence,burlington,Friend/Relative Referral,176.4272
175,669352,208916,11/1/2017,11/4/2017,15,19.8,4.8,31.53,11-Florence,burlington,Friend/Relative Referral,151.344
176,670759,208917,11/5/2017,12/16/2017,16,20.96,4.96,282.51,11-Florence,burlington,Friend/Relative Referral,1401.2496
177,669354,208917,11/1/2017,11/4/2017,15,19.8,4.8,31.3,11-Florence,burlington,Friend/Relative Referral,150.24
178,674841,208917,12/17/2017,1/18/2018,12,15.84,3.84,196.26,11-Florence,burlington,Friend/Relative Referral,753.6384
179,670769,208928,11/5/2017,11/26/2017,16,20.96,4.96,43.85,11-Florence,verona,Friend/Relative Referral,217.496
180,669450,208928,11/2/2017,11/4/2017,15,19.8,4.8,12.38,11-Florence,verona,Friend/Relative Referral,59.424
181,670774,208939,11/5/2017,12/8/2017,16,20.96,4.96,145.26,11-Florence,Covington,Friend/Relative Referral,720.4896
182,669453,208939,11/2/2017,11/4/2017,15,19.8,4.8,7.68,11-Florence,Covington,Friend/Relative Referral,36.864
183,670776,208949,11/5/2017,12/11/2017,16,20.96,4.96,121.62,11-Florence,cincinnati,Walk-In,603.2352
184,669455,208949,11/2/2017,11/4/2017,15,19.8,4.8,10.15,11-Florence,cincinnati,Walk-In,48.72
185,670754,209035,11/5/2017,11/24/2017,16,20.96,4.96,48.02,11-Florence,Fort Thomas,Walk-In,238.1792
186,669350,209035,11/1/2017,11/4/2017,15,19.8,4.8,25.83,11-Florence,Fort Thomas,Walk-In,123.984
187,676935,209035,1/15/2018,1/27/2018,12,15.96,3.96,49.27,11-Florence,Fort Thomas,Walk-In,195.1092
188,675418,209035,1/3/2018,1/10/2018,11,14.52,3.52,37.09,11-Florence,Fort Thomas,Walk-In,130.5568
189,670757,209036,11/5/2017,11/28/2017,16,20.96,4.96,49.66,11-Florence,Melbourne,Newspaper Ad,246.3136
190,669353,209036,11/1/2017,11/4/2017,15,19.8,4.8,25.87,11-Florence,Melbourne,Newspaper Ad,124.176
191,676934,209036,1/15/2018,1/27/2018,12,15.96,3.96,49.5,11-Florence,Melbourne,Newspaper Ad,196.02
192,675421,209036,1/3/2018,1/16/2018,11,14.52,3.52,37.18,11-Florence,Melbourne,Newspaper Ad,130.8736
193,670752,209050,11/5/2017,11/17/2017,16,20.96,4.96,19.83,11-Florence,crittenden,Walk-In,98.3568
194,669349,209050,11/1/2017,11/4/2017,15,19.8,4.8,20.71,11-Florence,crittenden,Walk-In,99.408
195,678307,209050,2/14/2018,,12,15.84,3.84,17.32,11-Florence,crittenden,Walk-In,66.5088
196,670764,209051,11/5/2017,12/11/2017,16,20.96,4.96,94.95,11-Florence,crittenden,Friend/Relative Referral,470.952
197,669359,209051,11/1/2017,11/4/2017,15,19.8,4.8,20.77,11-Florence,crittenden,Friend/Relative Referral,99.696
198,670748,209055,11/5/2017,12/16/2017,16,20.96,4.96,170.82,11-Florence,cincinnati,Walk-In,847.2672
199,669346,209055,11/1/2017,11/4/2017,15,19.8,4.8,24.68,11-Florence,cincinnati,Walk-In,118.464
200,670760,209077,11/5/2017,11/7/2017,16,20.96,4.96,4.15,11-Florence,florence,Friend/Relative Referral,20.584
201,669355,209077,11/1/2017,11/4/2017,15,19.8,4.8,23.62,11-Florence,florence,Friend/Relative Referral,113.376
202,669599,209149,11/6/2017,11/14/2017,16,20.96,4.96,33.28,11-Florence,Brooksville,,165.0688
203,670989,209156,11/8/2017,12/16/2017,16,20.96,4.96,170.31,11-Florence,Dry ridge,Friend/Relative Referral,844.7376
204,669602,209191,11/6/2017,12/16/2017,16,20.96,4.96,224.72,11-Florence,DeMossville,Other web site,1114.6112
205,670781,209239,11/5/2017,12/16/2017,16,20.96,4.96,236.61,11-Florence,covington,Friend/Relative Referral,1173.5856
206,669508,209239,11/3/2017,11/4/2017,15,19.8,4.8,15.65,11-Florence,covington,Friend/Relative Referral,75.12
207,674843,209239,12/17/2017,1/10/2018,12,15.84,3.84,112.83,11-Florence,covington,Friend/Relative Referral,433.2672
208,677964,209239,2/12/2018,,11,14.52,3.52,75.1,11-Florence,covington,Friend/Relative Referral,264.352
209,669595,209341,11/6/2017,12/11/2017,16,20.96,4.96,101.39,11-Florence,cincinnati,Craigslist,502.8944
210,669600,209399,11/6/2017,11/19/2017,16,20.96,4.96,85.43,11-Florence,cincinnati,Friend/Relative Referral,423.7328
211,670870,209403,11/13/2017,12/16/2017,16,20.96,4.96,238.69,10-West Chester,Erlanger,Friend/Relative Referral,1183.9024
212,674845,209403,12/17/2017,,12,15.84,3.84,355.45,10-West Chester,Erlanger,Friend/Relative Referral,1364.928
213,670875,209439,11/13/2017,11/24/2017,16,20.96,4.96,26.79,11-Florence,Cincinnati,Craigslist,132.8784
214,674228,209439,12/14/2017,12/20/2017,12,15.96,3.96,15.5,11-Florence,Cincinnati,Craigslist,61.38
215,670990,209520,11/8/2017,11/22/2017,16,20.96,4.96,30.43,11-Florence,cincinnati,Walk-In,150.9328
216,672134,209520,11/26/2017,12/16/2017,12.5,16.63,4.13,2,11-Florence,cincinnati,Walk-In,8.26
217,670869,209529,11/13/2017,12/16/2017,16,20.96,4.96,229.35,11-Florence,Cincinnati,,1137.576
218,674844,209529,12/17/2017,1/5/2018,12,15.84,3.84,76.1,11-Florence,Cincinnati,,292.224
219,670377,209558,11/10/2017,11/24/2017,16,20.96,4.96,56.45,11-Florence,cincinnati,,279.992
220,670874,209623,11/13/2017,11/29/2017,16,20.96,4.96,74.11,11-Florence,walton,Craigslist,367.5856
221,670879,209638,11/13/2017,12/11/2017,16,20.96,4.96,40.04,11-Florence,cincinnati ohio ,Friend/Relative Referral,198.5984
222,670310,209697,11/9/2017,12/11/2017,16,20.96,4.96,100.12,11-Florence,erlanger,Friend/Relative Referral,496.5952
223,670311,209755,11/9/2017,12/11/2017,16,20.96,4.96,125.07,11-Florence,worthville,Friend/Relative Referral,620.3472
224,670380,209898,11/10/2017,12/11/2017,16,20.96,4.96,99.19,11-Florence,cincinnati,Walk-In,491.9824
225,670873,209964,11/13/2017,11/20/2017,16,20.96,4.96,28.15,11-Florence,Florence,Craigslist,139.624
226,676553,209964,1/8/2018,1/20/2018,12.5,16.63,4.13,37.98,11-Florence,Florence,Craigslist,156.8574
227,670877,209965,11/13/2017,11/29/2017,16,20.96,4.96,37.37,11-Florence,florence,Other web site,185.3552
228,670872,209973,11/13/2017,12/16/2017,16,20.96,4.96,264.78,11-Florence,Kettering,Friend/Relative Referral,1313.3088
229,674846,209973,12/17/2017,12/29/2017,12,15.72,3.72,33.69,11-Florence,Kettering,Friend/Relative Referral,125.3268
230,671292,210049,11/16/2017,11/27/2017,16,20.96,4.96,47.24,10-West Chester,Cincinnati,Craigslist,234.3104
231,671191,210066,11/14/2017,11/28/2017,16,20.96,4.96,54.5,11-Florence,Cincinnati,Indeed,270.32
232,673042,210066,11/29/2017,11/29/2017,12,16.2,4.2,5.5,11-Florence,Cincinnati,Indeed,23.1
233,673962,210066,12/5/2017,1/11/2018,11.5,15.24,3.74,8,11-Florence,Cincinnati,Indeed,29.92
